#Elo: Lower bin edge in GeV 
#Ehi: Upper bin edge in GeV 
#numu flux    (numu/m^2/proton-on-target/GeV) 
#numubar flux (numubar/m^2/proton-on-target/GeV 
#        Elo        Ehi            numu                numubar 
	 0.0000 	 0.1000 	 7.08776777149706e-06 	 5.793063221686699e-06 
	 0.1000 	 0.2000 	 1.1735794825942857e-05 	 6.5007894960125756e-06 
	 0.2000 	 0.3000 	 1.0458145341443767e-05 	 4.099536549919694e-06 
	 0.3000 	 0.4000 	 5.793063221686699e-06 	 2.5482744092900953e-06 
	 0.4000 	 0.5000 	 3.117793909702623e-06 	 1.702330067579604e-06 
	 0.5000 	 0.6000 	 2.0529943400457956e-06 	 1.25788793841135e-06 
	 0.6000 	 0.7000 	 1.4320461607743911e-06 	 9.70536389985913e-07 
	 0.7000 	 0.8000 	 1.0281127412664839e-06 	 7.81903906496726e-07 
	 0.8000 	 0.9000 	 8.403099962063732e-07 	 6.577587441577482e-07 
	 0.9000 	 1.0000 	 7.171500063371148e-07 	 5.695007971992979e-07 
	 1.0000 	 1.1000 	 6.390755043971475e-07 	 4.790794956390411e-07 
	 1.1000 	 1.2000 	 5.77765447318549e-07 	 4.2081626668979995e-07 
	 1.2000 	 1.3000 	 5.454094371093859e-07 	 3.69638717421056e-07 
	 1.3000 	 1.4000 	 5.14865427603129e-07 	 3.246851232521392e-07 
	 1.4000 	 1.5000 	 5.0024098617412e-07 	 2.935362788633401e-07 
	 1.5000 	 1.6000 	 4.930852852833418e-07 	 2.615796469578054e-07 
	 1.6000 	 1.7000 	 5.075005312816423e-07 	 2.2976765124958866e-07 
	 1.7000 	 1.8000 	 5.223372040054881e-07 	 2.0182446981155333e-07 
	 1.8000 	 1.9000 	 5.376076237777529e-07 	 1.7985229548178337e-07 
	 1.9000 	 2.0000 	 5.376076237777529e-07 	 1.6027218216041594e-07 
	 2.0000 	 2.1000 	 5.376076237777529e-07 	 1.491323986382841e-07 
	 2.1000 	 2.2000 	 5.223372040054881e-07 	 1.2912184089851906e-07 
	 2.2000 	 2.3000 	 4.522500943243047e-07 	 1.1341869466266743e-07 
	 2.3000 	 2.4000 	 3.439468273003628e-07 	 9.962528577247831e-08 
	 2.4000 	 2.5000 	 2.692268736579063e-07 	 8.625758330477958e-08 
	 2.5000 	 2.6000 	 2.2004788395428533e-07 	 7.686691497101949e-08 
	 2.6000 	 2.7000 	 1.7985229548178337e-07 	 7.050112948733798e-08 
	 2.7000 	 2.8000 	 1.4489638294927894e-07 	 6.10413009376287e-08 
	 2.8000 	 2.9000 	 1.1506463762355337e-07 	 5.439587232944327e-08 
	 2.9000 	 3.0000 	 9.006767964431936e-08 	 4.7780521031228205e-08 
	 3.0000 	 3.1000 	 7.256221537866396e-08 	 4.382354490830181e-08 
	 3.1000 	 3.2000 	 6.016813519638411e-08 	 4.136933953303142e-08 
	 3.2000 	 3.3000 	 5.2094785914572395e-08 	 3.480100891143997e-08 
	 3.3000 	 3.4000 	 4.6423344196648825e-08 	 3.2382150564348896e-08 
	 3.4000 	 3.5000 	 4.136933953303142e-08 	 2.88567789479285e-08 
	 3.5000 	 3.6000 	 3.633820937064198e-08 	 2.6466985307819664e-08 
	 3.6000 	 3.7000 	 3.430319762178101e-08 	 2.3927860636703426e-08 
	 3.7000 	 3.8000 	 2.9700400892586422e-08 	 2.291565010141541e-08 
	 3.8000 	 3.9000 	 2.724074213129978e-08 	 2.0717224710293168e-08 
	 3.9000 	 4.0000 	 2.427510404222117e-08 	 1.8197700461235945e-08 
	 4.0000 	 4.1000 	 2.1946258695814964e-08 	 1.8197700461235945e-08 
	 4.1000 	 4.2000 	 2.042087501602342e-08 	 1.6690645605760148e-08 
	 4.2000 	 4.3000 	 1.9001513752299456e-08 	 1.4660813573516995e-08 
	 4.3000 	 4.4000 	 1.6216557900531793e-08 	 1.487357270439892e-08 
	 4.4000 	 4.5000 	 1.5308398516092557e-08 	 1.3839778954951768e-08 
	 4.5000 	 4.6000 	 1.4040623152805318e-08 	 1.2512052212422805e-08 
	 4.6000 	 4.7000 	 1.2877839462557459e-08 	 1.2156654928147727e-08 
	 4.7000 	 4.8000 	 1.1311701659106447e-08 	 1.0990399607138894e-08 
	 4.8000 	 4.9000 	 1.0990399607138894e-08 	 1.0990399607138894e-08 
	 4.9000 	 5.0000 	 9.793899617086312e-09 	 1.0374915445630541e-08 
	 5.0000 	 5.1000 	 9.113170621566461e-09 	 9.113170621566461e-09 
	 5.1000 	 5.2000 	 8.60281500400966e-09 	 8.982811204931498e-09 
	 5.2000 	 5.3000 	 7.890367068614204e-09 	 8.238893627485307e-09 
	 5.3000 	 5.4000 	 6.831639070834165e-09 	 8.004872831301901e-09 
	 5.4000 	 5.5000 	 6.265872266699191e-09 	 7.448490873679069e-09 
	 5.5000 	 5.6000 	 5.8303602540250664e-09 	 7.448490873679069e-09 
	 5.6000 	 5.7000 	 5.5038485237409775e-09 	 6.831639070834165e-09 
	 5.7000 	 5.8000 	 5.27102146306284e-09 	 6.9307804714065885e-09 
	 5.8000 	 5.9000 	 4.563756775461398e-09 	 6.0008096262309105e-09 
	 5.9000 	 6.0000 	 4.246550995637322e-09 	 5.8303602540250664e-09 
