#SBND antinu mode flux
#Based on G4BNB, geant4.10.4, Oct 9th 2024
#Elo: Lower bin edge in GeV
#Ehi: Upper bin edge in GeV
#flux    (nu/m^2/10^6 POT/50 MeV)
#  Elo   Ehi       numu      numub        nue       nueb
 3.75   3.80   4.1758e-03  1.8296e-04  1.1211e-04  6.7723e-05
 3.80   3.85   3.8829e-03  1.6275e-04  1.0319e-04  7.0381e-05
 3.85   3.90   3.7311e-03  1.6882e-04  9.6423e-05  5.4875e-05
 3.90   3.95   3.5850e-03  1.2347e-04  8.0380e-05  4.7257e-05
 3.95   4.00   3.4132e-03  1.0287e-04  7.5611e-05  4.1070e-05
 4.00   4.05   3.3028e-03  1.0786e-04  7.0667e-05  4.1957e-05
 4.05   4.10   3.1375e-03  8.5083e-05  6.5668e-05  4.7506e-05
 4.10   4.15   3.0149e-03  6.6617e-05  5.9961e-05  3.4050e-05
 4.15   4.20   2.8948e-03  5.8593e-05  4.8680e-05  2.8184e-05
 4.20   4.25   2.7435e-03  4.6358e-05  4.6262e-05  3.1387e-05
 4.25   4.30   2.6100e-03  4.2327e-05  4.5211e-05  3.1535e-05
 4.30   4.35   2.4145e-03  5.4475e-05  4.7300e-05  1.7941e-05
 4.35   4.40   2.3807e-03  2.6923e-05  3.3319e-05  1.6975e-05
 4.40   4.45   2.2754e-03  3.5236e-05  3.3055e-05  1.7798e-05
 4.45   4.50   2.1344e-03  3.2322e-05  3.0930e-05  1.5998e-05
 4.50   4.55   2.0276e-03  1.6776e-05  2.4948e-05  1.5091e-05
 4.55   4.60   1.9470e-03  1.3259e-05  2.3203e-05  1.7061e-05
 4.60   4.65   1.7841e-03  1.1151e-05  2.5590e-05  1.5513e-05
 4.65   4.70   1.7472e-03  9.4571e-06  1.8313e-05  1.1760e-05
 4.70   4.75   1.6293e-03  8.5887e-06  1.8177e-05  1.0504e-05
 4.75   4.80   1.5604e-03  6.2962e-06  1.2602e-05  7.8590e-06
 4.80   4.85   1.4813e-03  6.5799e-06  1.3041e-05  8.1365e-06
 4.85   4.90   1.3616e-03  5.2078e-06  1.1963e-05  5.6825e-06
 4.90   4.95   1.3048e-03  4.3759e-06  9.7013e-06  5.9218e-06
 4.95   5.00   1.2493e-03  3.4353e-06  9.7945e-06  8.5141e-06
 5.00   5.05   1.1660e-03  2.7898e-06  1.0839e-05  8.3936e-06
 5.05   5.10   1.1001e-03  1.9716e-06  7.4424e-06  6.3126e-06
 5.10   5.15   1.0245e-03  2.2723e-06  6.2304e-06  3.1245e-06
 5.15   5.20   9.8856e-04  2.1177e-06  7.1016e-06  3.7505e-06
 5.20   5.25   9.2172e-04  1.4402e-06  4.4607e-06  1.7020e-06
 5.25   5.30   8.6351e-04  5.2227e-07  4.9814e-06  2.8882e-06
 5.30   5.35   8.2066e-04  4.7317e-07  3.4876e-06  2.8596e-06
 5.35   5.40   7.5353e-04  1.1475e-07  4.5507e-06  3.0186e-06
 5.40   5.45   7.0773e-04  4.2549e-07  2.2978e-06  1.5506e-06
 5.45   5.50   6.6466e-04  2.3458e-07  1.6929e-06  1.3443e-06
 5.50   5.55   6.2568e-04  2.0544e-07  1.9745e-06  2.1013e-06
 5.55   5.60   5.7327e-04  1.9429e-08  2.5376e-06  5.2419e-07
 5.60   5.65   5.3792e-04  9.3749e-09  1.1914e-06  6.2232e-07
 5.65   5.70   4.9634e-04  5.8999e-07  1.0439e-06  1.4863e-06
