#Elo: Lower bin edge in GeV 
#Ehi: Upper bin edge in GeV 
#numu flux    (numu/m^2/proton-on-target/GeV) 
#numubar flux (numubar/m^2/proton-on-target/GeV 
#        Elo        Ehi            numu                numubar 
	 0.0000 	 0.1000 	 5.033069749874035e-06 	 6.442548307933802e-06 
	 0.1000 	 0.2000 	 5.904915126104582e-06 	 1.0867304289569317e-05 
	 0.2000 	 0.3000 	 3.9319520624939445e-06 	 9.81681182749443e-06 
	 0.3000 	 0.4000 	 2.5804499008679306e-06 	 5.257205590191191e-06 
	 0.4000 	 0.5000 	 1.7947832111723097e-06 	 2.774802763648473e-06 
	 0.5000 	 0.6000 	 1.3423484069303487e-06 	 1.7947832111723097e-06 
	 0.6000 	 0.7000 	 1.0795808983571878e-06 	 1.195106347541003e-06 
	 0.7000 	 0.8000 	 8.938400424896752e-07 	 8.312336571272297e-07 
	 0.8000 	 0.9000 	 7.61866882589504e-07 	 6.400163191035851e-07 
	 0.9000 	 1.0000 	 6.685179299748745e-07 	 5.376541467803987e-07 
	 1.0000 	 1.1000 	 5.866067063827081e-07 	 4.6497502496870883e-07 
	 1.1000 	 1.2000 	 5.222618767889461e-07 	 4.021205362951623e-07 
	 1.2000 	 1.3000 	 4.6497502496870883e-07 	 3.685634199067605e-07 
	 1.3000 	 1.4000 	 4.139719620622859e-07 	 3.2813573609347137e-07 
	 1.4000 	 1.5000 	 3.7395519119904763e-07 	 3.1874167882814655e-07 
	 1.5000 	 1.6000 	 3.427484838999638e-07 	 3.0515243777553516e-07 
	 1.6000 	 1.7000 	 3.0515243777553516e-07 	 3.0961655999956325e-07 
	 1.7000 	 1.8000 	 2.756547512172729e-07 	 3.141459885582755e-07 
	 1.8000 	 1.9000 	 2.4900847072554025e-07 	 3.1414598855827613e-07 
	 1.9000 	 2.0000 	 2.2493796395404526e-07 	 3.1414598855827613e-07 
	 2.0000 	 2.1000 	 2.0026454170655375e-07 	 3.1874167882814724e-07 
	 2.1000 	 2.2000 	 1.835523871957876e-07 	 3.0515243777553516e-07 
	 2.2000 	 2.3000 	 1.6580921980053034e-07 	 2.6390247936076226e-07 
	 2.3000 	 2.4000 	 1.4339542729925916e-07 	 2.0319424267120618e-07 
	 2.4000 	 2.5000 	 1.295340490346915e-07 	 1.5645135413177902e-07 
	 2.5000 	 2.6000 	 1.153254724517132e-07 	 1.2766639755292022e-07 
	 2.6000 	 2.7000 	 1.0119503535151545e-07 	 1.0724784040660235e-07 
	 2.7000 	 2.8000 	 9.141297542169439e-08 	 8.751567224217637e-08 
	 2.8000 	 2.9000 	 8.138589550227349e-08 	 6.738353040935675e-08 
	 2.9000 	 3.0000 	 7.56854608666861e-08 	 5.341169542328652e-08 
	 3.0000 	 3.1000 	 6.836929450099134e-08 	 4.2956244317906145e-08 
	 3.1000 	 3.2000 	 6.266385007355566e-08 	 3.76929621002759e-08 
	 3.2000 	 3.3000 	 5.743452722017081e-08 	 3.120792420145733e-08 
	 3.3000 	 3.4000 	 5.113453980685068e-08 	 2.6989293064489477e-08 
	 3.4000 	 3.5000 	 4.7552972018097375e-08 	 2.4380361892092923e-08 
	 3.5000 	 3.6000 	 4.295624431790624e-08 	 2.1393119239863412e-08 
	 3.6000 	 3.7000 	 4.053189925166308e-08 	 2.0185744063000128e-08 
	 3.7000 	 3.8000 	 3.661386645319635e-08 	 1.7971571862401972e-08 
	 3.8000 	 3.9000 	 3.4547469637055517e-08 	 1.6471837145479938e-08 
	 3.9000 	 4.0000 	 3.259769518876035e-08 	 1.4245203787349045e-08 
	 4.0000 	 4.1000 	 3.031448592322933e-08 	 1.286818527377949e-08 
	 4.1000 	 4.2000 	 2.8603610693081692e-08 	 1.286818527377949e-08 
	 4.2000 	 4.3000 	 2.621662816789246e-08 	 1.0654226366345462e-08 
	 4.3000 	 4.4000 	 2.5098907758468825e-08 	 1.050061129904449e-08 
	 4.4000 	 4.5000 	 2.3340928906988497e-08 	 8.82117696087469e-09 
	 4.5000 	 4.6000 	 2.2672711463230157e-08 	 7.853582962735849e-09 
	 4.6000 	 4.7000 	 2.1706082491070358e-08 	 7.410346003584295e-09 
	 4.7000 	 4.8000 	 1.9325144523878316e-08 	 6.597505908775754e-09 
	 4.8000 	 4.9000 	 1.8501235807964466e-08 	 6.597505908775754e-09 
	 4.9000 	 5.0000 	 1.6957300427152598e-08 	 5.5423218195899754e-09 
	 5.0000 	 5.1000 	 1.7205371398658505e-08 	 5.6234013029718315e-09 
	 5.1000 	 5.2000 	 1.6471837145480004e-08 	 5.006570989509633e-09 
	 5.2000 	 5.3000 	 1.5097255878593502e-08 	 4.329791716096801e-09 
	 5.3000 	 5.4000 	 1.4665043014608522e-08 	 3.911250609772994e-09 
	 5.4000 	 5.5000 	 1.363787339735567e-08 	 3.911250609772994e-09 
	 5.5000 	 5.6000 	 1.2868185273779544e-08 	 3.3825347778464813e-09 
	 5.6000 	 5.7000 	 1.2499787516187337e-08 	 3.4320184024421323e-09 
	 5.7000 	 5.8000 	 1.214193646000732e-08 	 2.8831123063926254e-09 
	 5.8000 	 5.9000 	 1.0968231152199527e-08 	 2.925289802384972e-09 
	 5.9000 	 6.0000 	 1.0654226366345483e-08 	 2.493378363545016e-09 
