   0.0000000000000000        0.0000000000000000        1.0000000000000000        0.0000000000000000                       Infinity                  Infinity                  Infinity   6.7176225410455555        0.0000000000000000       0.99995541455988091       0.99995541455988091     
   1.3083680182437612E-003   5.0009866213564090E-002  0.99980523296241908        1.0000878785729243E-002   66252.274281770515        65660.030552082375        65629.768532722941        6.7175873846015852       0.26165061476588458       0.99547597011949263       0.99524654146469638     
   2.6167360364875224E-003   7.0724631051686360E-002  0.99961046490552496        1.4143378290119786E-002   16561.412097938086        16266.548070731142        16251.557820452916        6.7175522282496143       0.37002985776188480       0.99101369221165025       0.99055695832817858     
   3.9251040547312842E-003   8.6619629161615197E-002  0.99941569582930967        1.7322029872729912E-002   7359.8913890817821        7164.1495062759968        7154.2490308951192        6.7175170719896364       0.45319218250511184       0.98656852049857569       0.98588659208439389     
   5.2334720729750447E-003  0.10001973242712818       0.99922092573376509        2.0001757044064827E-002   4139.5247882314216        3993.3406790904955        3985.9844850749350        6.7174819158216552       0.52330127092599632       0.98214039484618554       0.98123536993349947     
   6.5418400912188061E-003  0.11182546039919933       0.99902615461888344        2.2362644013434102E-002   2649.0308288677616        2532.5787600364033        2526.7486539530232        6.7174467597456680       0.58506862267799897       0.97772925532340971       0.97660321934078953     
   7.8502081094625684E-003  0.12249865432808427       0.99883138248465653        2.4497048927923891E-002   1839.4206897687041        1742.7878069461522        1737.9746953687511        6.7174116037616782       0.64091058155756053       0.97333504220151479       0.97199006803574339     
   9.1585761277063280E-003  0.13231366910070197       0.99863660933107645        2.6459836763788776E-002   1351.2758967685209        1268.7977223297528        1264.7106975272372        6.7173764478696807       0.69226256657652785       0.96895769595342818       0.96739584401107759     
   1.0466944145950089E-002  0.14144926210337272       0.99844183515813512        2.8286755088545130E-002   1034.4670789318125        962.60332353590832        959.06057060551279        6.7173412920696798       0.74005983260432739       0.96459715725306583       0.96282047552180283     
   1.1775312164193853E-002  0.15002959864069229       0.99824705996582463        3.0002634247613222E-002   817.27490322987273        753.66538209063481        750.54569323947817        6.7173061363616737       0.78495200987456648       0.96025336697466246       0.95826389108428356     
   1.3083680182437612E-002  0.15814508271516314       0.99805228375413690        3.1625553064515859E-002   661.92641271600155        604.91900373754925        602.13753542353402        6.7172709807456634       0.82741209019354478       0.95592626619210019       0.95372601947529978     
   1.4392048200681374E-002  0.16586396204626361       0.99785750652306404        3.3169159590811126E-002   546.99186265773267        495.38502905412389        492.88007860833943        6.7172358252216480       0.86779714415947107       0.95161579617824621       0.94920678973111006     
   1.5700416218925137E-002  0.17323925832323039       0.99766272827259772        3.4644057005042327E-002   459.57909369136507        412.47168884827857        410.19698083817718        6.7172006697896292       0.90638458010094747       0.94732189840428627       0.94470613114652768     
   1.7008784237168898E-002  0.18031313691209946       0.99746794900273039        3.6058677458557495E-002   391.55481421029566        348.25365390774942        346.17359328379172        6.7171655144496034       0.94339500629310191       0.94304451453906468       0.94022397327398533     
   1.8317152255412656E-002  0.18711978532955864       0.99727316871345384        3.7419857707314673E-002   337.58233526287165        297.54277981862595        295.62940036578647        6.7171303592015743       0.97900729107259821       0.93878358644842186       0.93576024592261753     
   1.9625520273656421E-002  0.19368737899119473       0.99707838740476007        3.8733232218533073E-002   294.04227476224759        256.82861712754311        255.05954709971394        6.7170952040455392        1.0133688475912448       0.93453905619454092       0.93131487915733402     
   2.0933888291900179E-002  0.20003946485425636       0.99688360507664109        4.0003509868981192E-002   258.40971066987885        223.66794324541485        222.02500673913232        6.7170600489815016        1.0466028730058325       0.93031086603528912       0.92688780329790743     
   2.2242256310143940E-002  0.20619596072153268       0.99668882172908890        4.1234673783895490E-002   228.87979253104834        196.31838374311138        194.78661343201335        6.7170248940094579        1.0788135768149540       0.92609895842356815       0.92247894891805593     
   2.3550624328387705E-002  0.21217389315505911       0.99649403736209552        4.2430128903582373E-002   204.13467330696884        173.51068402365851        172.07760813343253        6.7169897391294091        1.1100900416079065       0.92190327600665989       0.91808824684453316     
   2.4858992346631463E-002  0.21798795300491494       0.99629925197565283        4.3592813077027871E-002   183.19392870204990        154.30278222431107        152.95789914586928        6.7169545843413561        1.1405091295795780       0.91772376162558078       0.91371562815621754     
   2.6167360364875224E-002  0.22365092079839866       0.99610446556975296        4.4725282130429353E-002   165.31595592855945        137.98376548357052        136.71814973298692        6.7169194296452988        1.1701377081575695       0.91356035831443483       0.90936102418321529     
   2.7475728383118986E-002  0.22917399741827207       0.99590967814438780        4.5829775995612852E-002   149.93142059275687        124.00914361472456        122.81514561228397        6.7168842750412354        1.1990343801037096       0.90941300929976543       0.90502436650594853     
   2.8784096401362747E-002  0.23456706463476232       0.99571488969954947        4.6908270810735883E-002   136.59737725493784        111.95629823854222        110.82731231987259        6.7168491205291678        1.2272508466119241       0.90528165799992077       0.90070558695426839     
   3.0092464419606512E-002  0.23983889286366242       0.99552010023522985        4.7962520467364517E-002   124.96503724267102        101.49323258499709        100.42351544460988        6.7168139661090960        1.2548329942941561       0.90116624802440648       0.89640461760655132     
   3.1400832437850273E-002  0.24499730865616853       0.99532530975142097        4.8994090104778149E-002   114.75673404749185        92.356273381320079        91.340800340455957        6.7167788117810190        1.2818217714835982       0.89706672317325298       0.89212139078881036     
   3.2709200456094031E-002  0.25004933106782046       0.99513051824811494        5.0004383380775896E-002   105.74920467414454        84.333911934675342        83.368261955623211        6.7167436575449377        1.3082539017140449       0.89298302743637681       0.88785583907380849     
   3.4017568474337796E-002  0.25500128369512787       0.99493572572530353        5.0994664876552055E-002   97.761282590713350        77.254927646475423        76.335190459561957        6.7167085034008513        1.3341624698930983       0.88891510499294690       0.88360789528017203     
   3.5325936492581554E-002  0.25985888748484559       0.99474093218297899        5.1966078656521926E-002   90.644720358446023        70.979545525448756        70.102245954770225        6.7166733493487607        1.3595774078782872       0.88486290021075698       0.87937749247150754     
   3.6634304510825312E-002  0.26462733820140394       0.99454613762113309        5.2919663760114109E-002   84.277264351134761        65.392774029580508        64.554809832034138        6.7166381953886649        1.3845258997849743       0.88082635764559003       0.87516456395552156     
   3.7942672529069077E-002  0.26931137154279022       0.99435134203975795        5.3856367223523195E-002   78.557371416495641        60.399330410890641        59.597920832648789        6.7166030415205631        1.4090327226712314       0.87680542204059708       0.87096904328315072     
   3.9251040547312842E-002  0.27391531822984522       0.99415654543884546        5.4777055096364678E-002   73.400137190282607        55.919735976274204        55.152378883212485        6.7165678877444588        1.4331205347638327       0.87280003832566788       0.86679086424768192     
   4.0559408565556600E-002  0.27844315089377930       0.99396174781838775        5.5682521818153106E-002   68.734128596500540        51.887283222164903        51.151719144769672        6.7165327340603476        1.4568101207727127       0.86881015161680897       0.86262996088388599     
   4.1867776583800358E-002  0.28289852420674544       0.99376694917837682        5.6573498243539459E-002   64.498898135957972        48.245659513583085        47.539841309872848        6.7164975804682339        1.4801206018532405       0.86483570721552361       0.85848626746715229     
   4.3176144602044123E-002  0.28728480940880452       0.99357214951880457        5.7450658546949356E-002   60.643017264650162        44.947069963830451        44.269137078833857        6.7164624269681141        1.5030696162505433       0.86087665060819196       0.85435971851262327     
   4.4484512620287880E-002  0.29160512415894152       0.99337734883966300        5.8314626192133880E-002   57.122508573690723        41.950743321383001        41.298999832016101        6.7164272735599910        1.5256734754793615       0.85693292746545469       0.85025024877433375     
   4.5792880638531645E-002  0.29586235846158310       0.99318254714094389        5.9165979116906270E-002   53.899586956052467        39.221734208116168        38.594630004533627        6.7163921202438610        1.5479472999710147       0.85300448364159698       0.84615779324435547     
   4.7101248656775410E-002  0.30005919728138458       0.99298774442263982        6.0005254255605087E-002   50.941642076503477        36.729956482138633        36.126071062812322        6.7163569670197267        1.5699051373934656       0.84909126517393729       0.84208228715194267     
   4.8409616675019168E-002  0.30419814034909459       0.99279294068474233        6.0832951499834143E-002   48.220410694763082        34.449398200954612        33.867426657632308        6.7163218138875882        1.5915600662751637       0.84519321828221594       0.83802366596267885     
   4.9717984693262926E-002  0.30828151957349964       0.99259813592724366        6.1649537180470983E-002   45.711299412129577        32.357480275451174        31.796221122224274        6.7162866608474445        1.6129242871039462       0.84131028936798591       0.83398186537763030     
   5.1026352711506691E-002  0.31231151440387944       0.99240333015013560        6.2455447139822116E-002   43.392827390596985        30.434529572175961        29.892874134947277        6.7162515078992966        1.6340092027030657       0.83744242501400756       0.82995682133250237     
   5.2334720729750449E-002  0.31629016543032629       0.99220852335341014        6.3251089451389658E-002   41.246165356924770        28.663343743086731        28.140266875377602        6.7162163550431453        1.6548254893877503       0.83358957198364281       0.82594846999679306     
   5.3643088747994214E-002  0.32021938646284642       0.99201371553705953        6.4036846835427638E-002   39.254752338527062        27.028830007754770        26.523381938753811        6.7161812022789862        1.6753831601627944       0.82975167722025212       0.82195674777296046     
   5.4951456766237972E-002  0.32410097529217702       0.99181890670107542        6.4813078810870270E-002   37.403975505127924        25.517703891863022        25.029003044966469        6.7161460496068237        1.6956916210229089       0.82592868784659501       0.81798159129557912     
   5.6259824784481736E-002  0.32793662330401424       0.99162409684545016        6.5580123617967390E-002   35.680901514889257        24.118236833401795        23.645463479828621        6.7161108970266570        1.7157597212541431       0.82212055116423233       0.81402293743051279     
   5.7568192802725494E-002  0.33172792409252722       0.99142928597017543        6.6338299940799109E-002   34.074050108994136        22.820043820044756        22.362434453652394        6.7160757445384860        1.7355957984995980       0.81832721465292679       0.81008072327408132     
   5.8876560820969259E-002  0.33547638119759798       0.99123447407524334        6.7087908454554715E-002   32.573202528886320        21.613903976802018        21.170746313942416        6.7160405921423090        1.7552077192404849       0.81454862597005007       0.80615488615223629     
   6.0184928839213024E-002  0.33918341507233912       0.99103966116064601        6.7829233218883872E-002   31.169238767003108        20.491608399725191        20.062236922613767        6.7160054398381286        1.7746029152500227       0.81078473294999154       0.80224536361973287     
   6.1493296857456775E-002  0.34285036937246138       0.99084484722637522        6.8562542935632922E-002   29.853998796270197        19.445830617355753        19.029622591569154        6.7159702876259413        1.7937884164992646       0.80703548360356359       0.79835209345931135     
   6.2801664875700547E-002  0.34647851664646079       0.99065003227242321        6.9288092086757735E-002   28.620163824194883        18.470015922775325        18.066387829610949        6.7159351355057506        1.8127708809280247       0.80330082611741904       0.79447501368087836     
   6.4110032893944305E-002  0.35006906349494871       0.99045521629878175        7.0006121966077153E-002   27.461154336079979        17.558286505641835        17.166690838540458        6.7158999834775557        1.8315566214383778       0.79958070885345744       0.79061406252069200     
   6.5418400912188063E-002  0.35362315525843185       0.99026039930544285        7.0716861616726634E-002   26.371042268364047        16.705359863690376        16.325282245033275        6.7158648315413556        1.8501516304210122       0.79587508034824572       0.78676917844054706     
   6.6726768930431821E-002  0.35714188028517119       0.99006558129239863        7.1420528684636608E-002   25.344475117605924        15.906478415978141        15.537434996568228        6.7158296796971495        1.8685616020845721       0.79218388931243300       0.78294030012696936     
   6.8035136948675592E-002  0.36062627382419893       0.98987076225964110        7.2117330197050966E-002   24.376610166744374        15.157348598297590        14.798883706906542        6.7157945279449409        1.8867919528238317       0.78850708463016950       0.77912736649040426     
   6.9343504966919350E-002  0.36407732158296363       0.98967594220716204        7.2807463273978315E-002   23.463057316076458        14.454088012082988        14.105772026755183        6.7157593762847254        1.9048478398332083       0.78484461535852945       0.77533031666441665     
   7.0651872985163108E-002  0.36749596298425280       0.98948112113495368        7.3491115779505387E-002   22.599829256118635        13.793179435428215        13.454606851901564        6.7157242247165065        1.9227341781469118       0.78119643072693223       0.77154909000488781     
   7.1960241003406866E-002  0.37088309415289050       0.98928629904300791        7.4168466919071294E-002   21.783297924239694        13.171430699170738        12.842218374910807        6.7156890732402816        1.9404556562652735       0.77756248013656815       0.76778362608922035     
   7.3268609021650624E-002  0.37423957065911728       0.98909147593131674        7.4839687788083545E-002   21.010156355487332        12.585939590797192        12.265725145828567        6.7156539218560543        1.9580167505080437       0.77394271315982444       0.76403386471553925     
   7.4576977039894396E-002  0.37756621004244950       0.98889665179987207        7.5504941876634923E-002   20.277385177220808        12.034063080779207        11.722503438809124        6.7156187705638208        1.9754217382191663       0.77033707953971520       0.76029974590190053     
