52.58688391439557	9.297516819202438e-44
57.52038319362905	9.628731688829284e-44
63.04508036190426	1.0025078084332404e-43
68.819329609909	1.0363512710921337e-43
75.27569453886188	1.073070464176498e-43
82.3377708040351	1.1310633097952366e-43
90.06238391434337	1.159701582208756e-43
98.5116905294826	1.1903262511115373e-43
107.75367860800094	1.2320384684842314e-43
117.86271447733881	1.2681098083393986e-43
128.92014122787634	1.308887399234191e-43
141.01493324601108	1.3459551947534735e-43
154.24441215301098	1.382784943346659e-43
168.71502991050002	1.4193006571332076e-43
184.54322539388855	1.4540709943078083e-43
201.85636132622952	1.5036251830027645e-43
220.79374911160895	1.5304560330722807e-43
241.50776981446324	1.5781998783601267e-43
264.16510030486654	1.6530941502765227e-43
288.9480544360568	1.716452057360631e-43
316.0560500460795	1.7519612123856523e-43
345.70721358788575	1.8229454176864093e-43
378.14013529965746	1.864720040687083e-43
413.615789038468	1.905784212816853e-43
452.41963222534827	1.949028074920648e-43
494.8639027991331	1.994726274397379e-43
541.2901316616849	2.0424584884433657e-43
592.0718908310679	2.0674231038370513e-43
647.617799415886	2.1183529728337135e-43
708.3748115985834	2.165584878720707e-43
774.8318130846916	2.2130914246603254e-43
847.5235549571177	2.248691207548767e-43
927.0349565895254	2.321563104600677e-43
1014.0058122425012	2.380652340943323e-43
1109.1359392144764	2.418247095872558e-43
1213.190808972382	2.487121527151112e-43
1327.0077065733337	2.5518570754679613e-43
1451.502467939574	2.594009878365171e-43
1587.6768491986459	2.611924976911636e-43
1736.6265873867446	2.672940871104272e-43
1899.5502173762536	2.7476073394717647e-43
2077.7587159735263	2.807068712497623e-43
2272.686050788861	2.856643423954795e-43
2499.970142643053	2.9198440608976023e-43
2719.118367180914	2.9723750940255777e-43
2964.9048263471154	3.062254497984856e-43
3253.2450719157778	3.148778709979357e-43
3558.4520175030716	3.1942529063213954e-43
3892.2923053610975	3.304947425227554e-43
4257.452205581164	3.4285037430583453e-43
4656.870003787229	3.590334937189433e-43
5093.759644264269	3.788647572636418e-43
5590.593896781092	4.192203029744303e-43
6141.100925211055	4.892476815547486e-43
6694.756942069613	5.746817677645844e-43
7285.227353151378	6.821193669093577e-43
7965.281092916651	8.378462101140583e-43
8694.193175989027	9.877391016007558e-43
9542.205895374675	1.199059584879854e-42
10437.418967587935	1.414617765688113e-42
11416.617488600836	1.674742500415204e-42
12487.680650338745	1.9449207650432743e-42
13659.226840221996	2.215647781037957e-42
14520.416447224785	2.4551175141274538e-42
